"Age","Gender","Anxiety"
28,"Female",1.6
21,"Female",2.6
18,"Female",1.8
22,"Female",1.2
21,"Male",1.6
20,"Female",2
30,"Male",1.4
20,"Female",2.2
22,"Male",1
21,"Female",2.6
21,"Female",1.4
19,"Female",1.6
19,"Female",1
21,"Female",0.4
40,"Female",0.4
20,"Female",2.8
35,"Male",0.8
34,"Male",2.2
28,"Female",2
33,"Female",2.2
34,"Male",0.6
21,"Female",0.6
19,"Female",2
23,"Male",1.2
27,"Female",1.4
51,"Male",0.4
43,"Male",1
40,"Female",1.6
27,"Male",1.6
24,"Female",2.2
53,"Female",2.4
54,"Female",0.6
50,"Female",2.6
26,"Male",1.4
51,"Female",0.6
59,"Female",0.4
20,"Female",1.2
20,"Female",1.6
42,"Female",2
68,"Female",0
42,"Female",2.2
25,"Female",2.2
20,"Female",3
42,"Male",0.4
75,"Male",0
52,"Male",2.6
21,"Female",2.4
42,"Male",1.4
23,"Female",1.4
76,"Female",1.4
25,"Female",1.6
63,"Female",0.8
56,"Female",0.4
21,"Female",1.6
54,"Male",0.6
20,"Female",2.2
52,"Female",0.4
33,"Female",0.8
37,"Female",1.4
35,"Female",1.6
56,"Female",0.6
48,"Female",0.2
52,"Female",0.8
34,"Female",0.6
48,"Female",0.6
47,"Male",0.8
45,"Female",2
44,"Male",0.6
28,"Male",2.6
50,"Female",0.2
44,"Male",1
28,"Male",1
60,"Female",0.8
30,"Female",1
23,"Female",1.8
40,"Female",1.8
44,"Male",2.4
38,"Male",1.6
25,"Male",0.6
37,"Female",0.8
33,"Male",1.2
68,"Female",1.8
68,"Female",1.6
39,"Female",2.8
48,"Female",1.8
23,"Male",0.6
41,"Male",0.4
45,"Female",0.2
40,"Female",0.4
58,"Male",1.2
35,"Male",0
35,"Female",0.8
49,"Female",1.8
59,"Female",1.4
22,"Male",1.4
35,"Female",1
53,"Male",0
43,"Male",0.4
19,"Male",1.6
27,"Male",1.2
56,"Male",0.2
30,"Male",2
20,"Male",2.6
40,"Male",1.2
34,"Female",2
53,"Female",0.6
53,"Female",0.6
29,"Male",2
33,"Female",1.2
42,"Female",1
25,"Male",1.2
73,"Female",0.2
31,"Female",1.2
31,"Female",1.4
25,"Female",0
34,"Female",1
26,"Female",0.8
45,"Female",1.6
27,"Male",1.6
50,"Male",1
48,"Male",0.8
28,"Male",2.4
36,"Male",0.6
43,"Female",0.6
27,"Female",2
41,"Male",0
36,"Female",1.4
49,"Female",0.8
37,"Male",0.6
44,"Male",0.4
20,"Male",1
30,"Female",0.4
24,"Female",0.2
25,"Female",0.8
34,"Male",2.2
54,"Female",0.6
58,"Male",2.4
25,"Male",1.4
58,"Female",0
36,"Male",2.2
28,"Male",1
35,"Female",2
26,"Female",2
62,"Female",1.6
28,"Male",0
49,"Male",0.6
47,"Female",0
54,"Male",1
29,"Male",2.4
68,"Female",0.4
39,"Male",2.2
26,"Female",3
35,"Female",1.2
45,"Female",2
23,"Male",2
69,"Male",0.2
27,"Male",2
47,"Male",1.6
31,"Female",2.8
37,"Male",1.8
33,"Female",1
40,"Male",3
24,"Female",1.6
34,"Male",0.8
40,"Male",3
30,"Female",0.4
24,"Male",1.6
69,"Male",0
45,"Female",0.8
36,"Female",1.2
31,"Female",1.6
50,"Female",1.6
47,"Male",2.2
26,"Male",0.8
22,"Female",1
42,"Female",2
28,"Female",0.8
21,"Female",2.8
24,"Male",1.6
32,"Female",0
74,"Male",0
52,"Male",1.4
45,"Male",0
36,"Female",2.2
38,"Male",0
29,"Female",1.6
41,"Male",0
51,"Female",0.2
26,"Male",2.6
51,"Male",0.6
22,"Female",1.6
55,"Female",1.2
45,"Female",2.6
45,"Female",2
22,"Male",0.2
24,"Male",1.2
23,"Female",2.4
48,"Female",1.8
51,"Male",0.4
21,"Male",1
32,"Male",2
25,"Male",1.2
22,"Female",1
32,"Female",0.8
43,"Female",1.2
59,"Male",0.4
46,"Male",1
36,"Male",0
51,"Female",1.8
59,"Male",1.4
36,"Male",0
29,"Female",0
37,"Female",0.6
35,"Female",1.4
29,"Female",1.6
35,"Male",1
51,"Male",0.4
49,"Male",0.6
49,"Female",1.8
37,"Male",1.4
23,"Female",0.4
29,"Female",1.2
64,"Female",1.4
34,"Female",1
39,"Male",1.8
37,"Male",1.8
37,"Male",1.8
50,"Male",0.8
29,"Male",1.6
53,"Male",2.2
43,"Female",0.4
35,"Male",0
62,"Female",0.4
32,"Male",2
28,"Female",0.4
32,"Male",0.2
25,"Male",2
44,"Male",2.2
44,"Female",1.6
35,"Female",0.6
24,"Male",0
21,"Female",0.8
21,"Female",1.8
19,"Female",1
19,"Female",1.4
19,"Female",2
21,"Female",2.4
18,"Female",1
18,"Female",2
19,"Male",0.6
26,"Male",0.8
18,"Female",1.8
19,"Female",2.8
20,"Female",1.8
20,"Female",3
20,"Female",2.4
18,"Female",1.6
21,"Female",0.4
19,"Female",2.8
18,"Female",2.8
18,"Female",1.8
18,"Female",3
19,"Female",1.8
19,"Female",2.8
19,"Female",2
19,"Female",2.6
18,"Female",1.6
19,"Female",1.6
20,"Female",1.8
19,"Male",1
19,"Female",1.8
22,"Male",1.8
19,"Female",2.8
19,"Female",2
20,"Female",2.2
18,"Female",1.6
18,"Female",3
18,"Female",1.4
19,"Female",1.4
22,"Male",2
18,"Female",2
20,"Female",1.8
18,"Male",1
20,"Female",1
19,"Female",2.4
23,"Male",1
18,"Female",1.8
21,"Female",1
19,"Female",1.2
20,"Female",1.6
19,"Female",0.2
19,"Female",1.6
20,"Female",1.4
19,"Female",1.2
18,"Female",2.2
18,"Female",2.2
19,"Female",0.8
20,"Female",2
18,"Female",2.2
19,"Female",2.2
21,"Female",2
19,"Female",1.6
19,"Female",1.8
21,"Female",2.2
18,"Female",2.2
20,"Female",3
19,"Female",1.4
22,"Female",2
19,"Female",1.2
20,"Female",2.6
19,"Female",1.8
19,"Female",2.6
19,"Female",1.4
19,"Male",2.2
20,"Female",0.4
19,"Male",1.8
19,"Female",2.4
20,"Female",2.4
19,"Female",0.6
20,"Female",2
20,"Female",2.4
19,"Female",0.8
19,"Male",0.8
19,"Female",2.6
21,"Female",1.6
20,"Female",2.2
18,"Female",0.6
20,"Female",2.2
20,"Female",2
19,"Female",0.6
19,"Female",0.6
20,"Female",3
19,"Female",1.8
20,"Female",1.8
22,"Male",1
19,"Male",0.8
20,"Female",0.8
19,"Female",2
18,"Female",0.2
19,"Female",1.2
18,"Female",2
19,"Female",0.6
19,"Female",1.4
19,"Female",1.8
20,"Female",1.6
20,"Female",0.4
21,"Female",0.6
21,"Female",1.4
19,"Female",2
20,"Female",2.2
20,"Female",2.4
19,"Female",0.2
20,"Female",1
19,"Male",1.2
19,"Male",1.4
20,"Female",0.4
21,"Female",1
20,"Female",2.8
21,"Male",2.6
19,"Female",1.2
20,"Female",2.4
20,"Female",2.6
24,"Male",1.8
19,"Female",1.4
20,"Female",2
25,"Female",2.4
20,"Female",2.6
19,"Female",2
19,"Female",3
19,"Female",2
21,"Female",2
20,"Female",2.6
19,"Female",2.4
27,"Male",2.2
19,"Female",0.8
20,"Female",1.4
20,"Female",2
19,"Female",0.6
19,"Female",0.4
19,"Female",0.2
18,"Female",0.6
19,"Female",2.2
18,"Female",1.8
18,"Female",1.8
21,"Female",2.2
19,"Female",0.8
19,"Male",2
19,"Female",1
18,"Female",2
19,"Female",1.2
20,"Female",2.4
19,"Female",1.8
32,"Male",0.2
18,"Male",1.6
20,"Female",1.6
19,"Female",1.8
19,"Female",0.8
20,"Male",2.2
20,"Male",2.2
19,"Male",0.2
19,"Female",2.4
19,"Male",3
19,"Female",1.6
25,"Male",1.6
19,"Female",0.8
21,"Female",2.2
21,"Female",2
20,"Male",0.2
20,"Female",2
19,"Female",2.4
19,"Female",1.4
20,"Female",3
18,"Male",2.6
20,"Female",2.2
19,"Female",1.6
19,"Female",0.2
21,"Female",0.6
19,"Female",1
20,"Female",1.6
19,"Female",1.6
19,"Female",1.6
21,"Female",2.8
20,"Female",1.6
20,"Female",1.8
20,"Male",0.4
21,"Female",2
20,"Female",2.4
19,"Female",2
20,"Female",2.6
19,"Female",1.6
19,"Female",3
18,"Female",2.8
20,"Female",1.6
21,"Male",0.4
19,"Male",2.2
19,"Female",2.6
19,"Female",1.8
19,"Female",2
20,"Female",1
20,"Female",2.6
20,"Female",2.2
19,"Female",1
20,"Female",0.4
20,"Male",1.6
20,"Female",1.4
20,"Female",1.8
19,"Male",2.2
21,"Female",0.8
19,"Female",1
20,"Female",0.2
20,"Female",2.4
21,"Female",2
19,"Female",2.4
19,"Female",0.2
19,"Female",1.8
21,"Female",2.2
23,"Male",1.6
20,"Male",1.6
20,"Male",0.4
20,"Male",1.2
19,"Male",2.2
19,"Female",2.2
23,"Male",2
21,"Female",1.8
19,"Female",2
21,"Female",2.4
19,"Female",2.8
18,"Female",0.6
19,"Female",1.2
18,"Female",2.6
19,"Female",2
19,"Female",2
19,"Female",2.2
21,"Female",2
18,"Female",1.2
21,"Female",3
19,"Male",1.2
18,"Female",1.6
19,"Female",1.4
19,"Male",1.8
26,"Male",1.4
19,"Female",2.2
20,"Female",2
19,"Female",1.4
23,"Female",0
19,"Female",2.4
18,"Female",1.4
20,"Female",2
19,"Male",2
51,"Female",0.8
22,"Female",0.2
18,"Female",0.2
19,"Female",1.6
18,"Female",0.6
19,"Female",2.8
19,"Female",2
20,"Female",2.4
25,"Female",2
36,"Female",1
18,"Female",2.4
20,"Female",1.8
18,"Male",1.8
19,"Male",2.4
18,"Female",0.6
18,"Female",1.8
19,"Female",1.6
19,"Female",0.4
21,"Female",2.2
20,"Female",2
18,"Female",2
18,"Female",1
19,"Female",1.4
19,"Female",0.2
18,"Female",0.8
19,"Female",2.8
18,"Female",0.8
21,"Female",3
20,"Male",2
20,"Female",1.6
18,"Male",1.4
18,"Female",2.2
18,"Female",1
19,"Female",2.4
19,"Female",1.6
19,"Female",1.8
21,"Female",2.8
20,"Female",2
21,"Female",1.2
20,"Female",2.2
36,"Female",1.4
20,"Female",2.4
18,"Male",1.4
20,"Female",0.8
19,"Female",0.6
20,"Female",1
18,"Female",2
18,"Female",2.6
19,"Female",1.6
19,"Female",2
18,"Female",2.2
19,"Male",1
19,"Female",2
21,"Female",0.6
18,"Female",1.8
18,"Female",1.6
18,"Female",2
18,"Female",1.2
19,"Female",1.4
19,"Female",2.2
20,"Female",1.2
20,"Female",2.8
18,"Male",2
18,"Female",0.8
22,"Female",1
20,"Female",1.8
18,"Female",1.2
20,"Female",2.2
18,"Male",1.2
19,"Female",1.2
19,"Female",2.6
19,"Female",0.6
19,"Female",1.4
21,"Female",1.4
22,"Female",2
19,"Female",2.4
20,"Female",1.4
20,"Female",0.8
19,"Female",1.8
19,"Female",2
18,"Female",1.4
18,"Female",1.6
19,"Female",1.4
19,"Female",2.8
19,"Female",1.6
19,"Female",1
19,"Female",1.8
19,"Female",2.8
20,"Female",1.6
20,"Male",2.4
20,"Female",0.6
19,"Female",1
20,"Female",2
20,"Female",1
21,"Female",2.2
19,"Female",1.8
20,"Male",2.6
21,"Female",1.2
18,"Female",1.6
22,"Female",0.8
20,"Female",2.2
18,"Female",0.8
19,"Female",1.8
19,"Female",0.6
18,"Female",0
19,"Female",3
19,"Female",0.6
18,"Female",1.2
18,"Female",1.6
19,"Female",2.4
18,"Female",1.8
21,"Female",1.8
19,"Female",0.4
19,"Female",2.2
19,"Female",1
18,"Female",0.8
20,"Female",1.2
19,"Female",1.4
18,"Female",1.6
19,"Male",0.8
18,"Female",2
20,"Female",2
18,"Female",1.8
19,"Female",1.6
19,"Female",2.6
28,"Female",1.6
19,"Male",1
19,"Female",3
20,"Female",2.2
22,"Female",0.2
20,"Female",2
20,"Female",2.2
19,"Female",2
18,"Male",0.6
19,"Female",1.6
19,"Female",0.8
19,"Female",1.2
20,"Female",2.8
19,"Female",0.4
19,"Female",2
19,"Female",1.6
19,"Female",2.8
23,"Female",2
21,"Male",2
18,"Female",1.2
19,"Female",0.8
27,"Female",1.6
19,"Male",0.4
18,"Female",3
19,"Female",1.8
18,"Female",1.2
19,"Female",1.6
18,"Female",1.6
18,"Female",1.8
18,"Female",1.8
20,"Female",2.2
18,"Female",1.8
19,"Male",1.6
19,"Female",2.4
19,"Female",1.2
18,"Female",1.8
21,"Female",1.4
19,"Female",1.6
20,"Female",1.4
19,"Female",2.2
19,"Female",1.6
19,"Male",2
18,"Female",1.8
19,"Female",1.6
20,"Female",1.8
19,"Female",1.6
18,"Female",2.2
20,"Male",0
19,"Male",1
19,"Female",1.8
19,"Female",1
21,"Female",0.8
18,"Female",1.8
18,"Male",1.4
19,"Female",2.6
18,"Female",2.6
18,"Male",2
19,"Female",1.2
20,"Female",3
18,"Female",1.8
18,"Female",2.2
19,"Female",1.4
25,"Female",2
19,"Male",0.8
19,"Female",2
18,"Male",1.8
20,"Female",2.4
18,"Female",2.6
NA,"Female",2
18,"Female",0.4
19,"Female",2.4
18,"Female",0.2
19,"Female",2.6
19,"Female",2.2
19,"Male",0.6
20,"Female",1.2
19,"Female",1.4
18,"Male",2
18,"Female",1.2
20,"Female",1
18,"Female",0.6
18,"Female",1.8
19,"Female",2
21,"Female",3
40,"Female",0.6
18,"Female",1.2
18,"Female",2.6
18,"Female",2.4
18,"Female",1.6
19,"Female",1.6
18,"Male",1.8
18,"Male",2
21,"Female",2.4
19,"Female",2
19,"Female",2.2
18,"Female",2
22,"Female",2
18,"Female",2.4
20,"Female",2.4
19,"Female",2
19,"Female",2.2
20,"Female",1.8
19,"Female",2.2
20,"Male",1.2
19,"Female",1.6
19,"Female",2.8
19,"Female",1.4
19,"Female",3
19,"Female",2.4
18,"Female",1.6
19,"Female",0.2
19,"Female",1.8
20,"Female",2.4
21,"Female",0.4
20,"Female",1.6
18,"Female",2
20,"Female",0
19,"Female",1.8
19,"Female",2.4
18,"Female",1
20,"Male",0.6
21,"Female",0.2
18,"Female",2.6
19,"Male",1.2
20,"Female",2.2
18,"Female",1.2
19,"Female",2
19,"Male",0.4
23,"Female",1.8
19,"Female",1.4
19,"Male",2.4
22,"Female",1.8
19,"Female",2.6
19,"Male",0
20,"Female",1.2
19,"Female",2
19,"Female",2.6
19,"Female",1
20,"Female",2
19,"Female",0.4
20,"Female",3
18,"Female",2.6
20,"Female",2.8
32,"Female",2
23,"Female",2.8
19,"Female",1.8
19,"Male",0.8
20,"Female",1.2
21,"Female",2
19,"Female",1.2
19,"Male",0.8
19,"Female",2.8
19,"Female",2.2
20,"Female",1.4
18,"Female",2.2
19,"Female",1.4
18,"Female",2.2
19,"Female",2.2
19,"Female",2
19,"Female",2.4
19,"Female",3
18,"Female",2.2
18,"Female",1.4
18,"Female",2.2
19,"Female",1.8
21,"Male",0.8
22,"Female",2.8
18,"Female",1.8
20,"Female",1.6
20,"Female",1.8
19,"Female",1
19,"Female",0.4
19,"Male",2.6
18,"Male",0.8
20,"Female",2
19,"Female",1.8
20,"Female",2.4
18,"Female",3
20,"Female",1.2
18,"Male",1.4
22,"Female",1
23,"Male",3
20,"Female",3
21,"Male",2
19,"Female",3
18,"Female",1.8
18,"Female",2.6
18,"Female",2.8
19,"Female",1.6
19,"Female",1.2
18,"Female",1.8
19,"Female",2
